,Month_Year,Address_Zipcode,Eviction_Notice,actual_evictions,month_year,months_ahead,predicted_evictions,month_for_zips,months_ahead_2,perc_of_month,predicted_evictions_by_zip,actual_evictions_random_forest,month_year_random_forest,predicted_evictions_random_forest,zip_code
63,1999-08-01,94102,22,251.0,1999-08-01,3.0,220.375706657,1999-08-01,3.0,0.0406322612205,8.95436327955,22.0,1999-08-01,9.3,94102
66,1999-08-01,94103,5,251.0,1999-08-01,3.0,220.375706657,1999-08-01,3.0,0.045106192165,9.94030897299,5.0,1999-08-01,6.0,94103
69,1999-08-01,94107,7,251.0,1999-08-01,3.0,220.375706657,1999-08-01,3.0,0.0135542782602,2.98703364981,7.0,1999-08-01,5.1,94107
72,1999-08-01,94108,2,251.0,1999-08-01,3.0,220.375706657,1999-08-01,3.0,0.0180995475113,3.98870057298,2.0,1999-08-01,4.4,94108
75,1999-08-01,94109,13,251.0,1999-08-01,3.0,220.375706657,1999-08-01,3.0,0.0654376095553,14.4208594477,13.0,1999-08-01,11.2,94109
78,1999-08-01,94110,40,251.0,1999-08-01,3.0,220.375706657,1999-08-01,3.0,0.124138844727,27.3571856304,40.0,1999-08-01,34.5,94110
82,1999-08-01,94112,17,251.0,1999-08-01,3.0,220.375706657,1999-08-01,3.0,0.0699523052464,15.415788701,17.0,1999-08-01,15.2,94112
85,1999-08-01,94114,16,251.0,1999-08-01,3.0,220.375706657,1999-08-01,3.0,0.0518935224818,11.4360716879,16.0,1999-08-01,18.0,94114
88,1999-08-01,94115,11,251.0,1999-08-01,3.0,220.375706657,1999-08-01,3.0,0.0451571480983,9.9515384228,11.0,1999-08-01,7.4,94115
91,1999-08-01,94116,7,251.0,1999-08-01,3.0,220.375706657,1999-08-01,3.0,0.0406220700338,8.95211738959,7.0,1999-08-01,7.8,94116
94,1999-08-01,94117,12,251.0,1999-08-01,3.0,220.375706657,1999-08-01,3.0,0.0925563572622,20.3971726373,12.0,1999-08-01,24.2,94117
97,1999-08-01,94118,15,251.0,1999-08-01,3.0,220.375706657,1999-08-01,3.0,0.0383902001549,8.46026748786,15.0,1999-08-01,11.1,94118
100,1999-08-01,94121,20,251.0,1999-08-01,3.0,220.375706657,1999-08-01,3.0,0.0519648607884,11.4517929176,20.0,1999-08-01,8.3,94121
103,1999-08-01,94122,19,251.0,1999-08-01,3.0,220.375706657,1999-08-01,3.0,0.0744975744976,16.4174556242,19.0,1999-08-01,17.7,94122
106,1999-08-01,94123,5,251.0,1999-08-01,3.0,220.375706657,1999-08-01,3.0,0.0451877216583,9.95827609269,5.0,1999-08-01,10.9,94123
109,1999-08-01,94124,6,251.0,1999-08-01,3.0,220.375706657,1999-08-01,3.0,0.0361073743427,7.95718813631,6.0,1999-08-01,5.1,94124
112,1999-08-01,94127,2,251.0,1999-08-01,3.0,220.375706657,1999-08-01,3.0,0.00676694794342,1.49127093494,2.0,1999-08-01,1.6,94127
115,1999-08-01,94131,7,251.0,1999-08-01,3.0,220.375706657,1999-08-01,3.0,0.036127756716,7.96167991623,7.0,1999-08-01,6.3,94131
118,1999-08-01,94132,1,251.0,1999-08-01,3.0,220.375706657,1999-08-01,3.0,0.0496208878562,10.9352382263,1.0,1999-08-01,7.8,94132
121,1999-08-01,94133,8,251.0,1999-08-01,3.0,220.375706657,1999-08-01,3.0,0.027088174147,5.9695755197,8.0,1999-08-01,7.4,94133
124,1999-08-01,94134,11,251.0,1999-08-01,3.0,220.375706657,1999-08-01,3.0,0.0293608087726,6.47040898129,11.0,1999-08-01,6.8,94134
127,1999-08-01,Unknown_ZIP,3,251.0,1999-08-01,3.0,220.375706657,1999-08-01,3.0,0.0135746606335,2.99152542974,3.0,1999-08-01,5.9,Unknown_ZIP
130,1999-09-01,94102,5,215.0,1999-09-01,3.0,221.87037955,1999-09-01,3.0,0.0499780167793,11.088641552,5.0,1999-09-01,9.9,94102
133,1999-09-01,94103,6,215.0,1999-09-01,3.0,221.87037955,1999-09-01,3.0,0.0458075615864,10.1633410755,6.0,1999-09-01,6.8,94103
136,1999-09-01,94107,4,215.0,1999-09-01,3.0,221.87037955,1999-09-01,3.0,0.0118974158358,2.63968416716,4.0,1999-09-01,4.0,94107
139,1999-09-01,94108,2,215.0,1999-09-01,3.0,221.87037955,1999-09-01,3.0,0.0219253102363,4.8645769039,2.0,1999-09-01,5.3,94108
142,1999-09-01,94109,31,215.0,1999-09-01,3.0,221.87037955,1999-09-01,3.0,0.0665149156692,14.7576895853,31.0,1999-09-01,9.8,94109
145,1999-09-01,94110,32,215.0,1999-09-01,3.0,221.87037955,1999-09-01,3.0,0.119955224096,26.6145110991,32.0,1999-09-01,27.7,94110
150,1999-09-01,94112,7,215.0,1999-09-01,3.0,221.87037955,1999-09-01,3.0,0.0652328673031,14.4732410277,7.0,1999-09-01,13.1,94112
153,1999-09-01,94114,12,215.0,1999-09-01,3.0,221.87037955,1999-09-01,3.0,0.0489018332997,10.8498683149,12.0,1999-09-01,19.4,94114
156,1999-09-01,94115,10,215.0,1999-09-01,3.0,221.87037955,1999-09-01,3.0,0.0544252231957,12.0753449276,10.0,1999-09-01,9.3,94115
159,1999-09-01,94116,5,215.0,1999-09-01,3.0,221.87037955,1999-09-01,3.0,0.0399569165032,8.86525623024,5.0,1999-09-01,7.6,94116
162,1999-09-01,94117,15,215.0,1999-09-01,3.0,221.87037955,1999-09-01,3.0,0.0917471566298,20.3559764641,15.0,1999-09-01,22.2,94117
165,1999-09-01,94118,11,215.0,1999-09-01,3.0,221.87037955,1999-09-01,3.0,0.0456220790732,10.1221879999,11.0,1999-09-01,11.2,94118
168,1999-09-01,94121,8,215.0,1999-09-01,3.0,221.87037955,1999-09-01,3.0,0.0417963163482,9.27336457198,8.0,1999-09-01,11.5,94121
171,1999-09-01,94122,12,215.0,1999-09-01,3.0,221.87037955,1999-09-01,3.0,0.0711242771329,15.7803703627,12.0,1999-09-01,15.6,94122
174,1999-09-01,94123,4,215.0,1999-09-01,3.0,221.87037955,1999-09-01,3.0,0.0430006842529,9.54057813611,4.0,1999-09-01,9.4,94123
177,1999-09-01,94124,8,215.0,1999-09-01,3.0,221.87037955,1999-09-01,3.0,0.0383777345403,8.51488252874,8.0,1999-09-01,7.0,94124
180,1999-09-01,94127,2,215.0,1999-09-01,3.0,221.87037955,1999-09-01,3.0,0.00676694794342,1.5013853086,2.0,1999-09-01,2.0,94127
183,1999-09-01,94131,7,215.0,1999-09-01,3.0,221.87037955,1999-09-01,3.0,0.0326688621311,7.24825284051,7.0,1999-09-01,9.9,94131
186,1999-09-01,94132,8,215.0,1999-09-01,3.0,221.87037955,1999-09-01,3.0,0.0502479738784,11.148537036,8.0,1999-09-01,8.9,94132
189,1999-09-01,94133,20,215.0,1999-09-01,3.0,221.87037955,1999-09-01,3.0,0.0194893979292,4.32412011576,20.0,1999-09-01,5.8,94133
192,1999-09-01,94134,2,215.0,1999-09-01,3.0,221.87037955,1999-09-01,3.0,0.0367412544893,8.1517960787,2.0,1999-09-01,7.01379310345,94134
195,1999-09-01,Unknown_ZIP,3,215.0,1999-09-01,3.0,221.87037955,1999-09-01,3.0,0.00893325306352,1.98202424782,3.0,1999-09-01,2.8,Unknown_ZIP
198,1999-10-01,94102,9,305.0,1999-10-01,3.0,222.946476425,1999-10-01,3.0,0.0444279570289,9.90505647435,9.0,1999-10-01,9.5,94102
201,1999-10-01,94103,25,305.0,1999-10-01,3.0,222.946476425,1999-10-01,3.0,0.0505593748935,11.2720344827,25.0,1999-10-01,8.0,94103
204,1999-10-01,94107,8,305.0,1999-10-01,3.0,222.946476425,1999-10-01,3.0,0.0135526915065,3.02152481744,8.0,1999-10-01,6.1,94107
207,1999-10-01,94108,2,305.0,1999-10-01,3.0,222.946476425,1999-10-01,3.0,0.0219253102363,4.88817066171,2.0,1999-10-01,5.7,94108
210,1999-10-01,94109,13,305.0,1999-10-01,3.0,222.946476425,1999-10-01,3.0,0.061460260826,13.7023485913,13.0,1999-10-01,11.1,94109
213,1999-10-01,94110,26,305.0,1999-10-01,3.0,222.946476425,1999-10-01,3.0,0.129318269924,28.8310526168,26.0,1999-10-01,28.1,94110
216,1999-10-01,94111,1,305.0,1999-10-01,3.0,222.946476425,1999-10-01,3.0,0.00462962962963,1.03215961308,1.0,1999-10-01,1.4,94111
219,1999-10-01,94112,12,305.0,1999-10-01,3.0,222.946476425,1999-10-01,3.0,0.0662857615884,14.7781769833,12.0,1999-10-01,15.0,94112
222,1999-10-01,94114,25,305.0,1999-10-01,3.0,222.946476425,1999-10-01,3.0,0.0540374860859,12.0474671177,25.0,1999-10-01,16.7,94114
225,1999-10-01,94115,26,305.0,1999-10-01,3.0,222.946476425,1999-10-01,3.0,0.044291139619,9.8745535149,26.0,1999-10-01,7.0,94115
228,1999-10-01,94116,13,305.0,1999-10-01,3.0,222.946476425,1999-10-01,3.0,0.0438565762663,9.77766914663,13.0,1999-10-01,7.4,94116
231,1999-10-01,94117,21,305.0,1999-10-01,3.0,222.946476425,1999-10-01,3.0,0.0884862933982,19.727707325,21.0,1999-10-01,14.7,94117
234,1999-10-01,94118,13,305.0,1999-10-01,3.0,222.946476425,1999-10-01,3.0,0.0446332259716,9.95082046183,13.0,1999-10-01,13.2,94118
237,1999-10-01,94121,11,305.0,1999-10-01,3.0,222.946476425,1999-10-01,3.0,0.0440787187426,9.82719502899,11.0,1999-10-01,8.9,94121
240,1999-10-01,94122,13,305.0,1999-10-01,3.0,222.946476425,1999-10-01,3.0,0.0637598745163,14.2150393607,13.0,1999-10-01,16.5,94122
243,1999-10-01,94123,10,305.0,1999-10-01,3.0,222.946476425,1999-10-01,3.0,0.0380375502267,8.48033779487,10.0,1999-10-01,6.0,94123
246,1999-10-01,94124,2,305.0,1999-10-01,3.0,222.946476425,1999-10-01,3.0,0.0357277453497,7.96537493631,2.0,1999-10-01,7.3,94124
249,1999-10-01,94127,2,305.0,1999-10-01,3.0,222.946476425,1999-10-01,3.0,0.00605450850549,1.34983133778,2.0,1999-10-01,2.7,94127
252,1999-10-01,94131,7,305.0,1999-10-01,3.0,222.946476425,1999-10-01,3.0,0.0314460910428,7.01079519532,7.0,1999-10-01,9.5,94131
255,1999-10-01,94132,2,305.0,1999-10-01,3.0,222.946476425,1999-10-01,3.0,0.046945239668,10.4662757689,2.0,1999-10-01,8.2,94132
258,1999-10-01,94133,21,305.0,1999-10-01,3.0,222.946476425,1999-10-01,3.0,0.0285059373358,6.3552982862,21.0,1999-10-01,5.3,94133
261,1999-10-01,94134,3,305.0,1999-10-01,3.0,222.946476425,1999-10-01,3.0,0.039130014941,8.72389895355,3.0,1999-10-01,8.0,94134
264,1999-10-01,Unknown_ZIP,4,305.0,1999-10-01,3.0,222.946476425,1999-10-01,3.0,0.0183011810547,4.08018383056,4.0,1999-10-01,2.8,Unknown_ZIP
267,1999-11-01,94102,6,193.0,1999-11-01,3.0,216.119999716,1999-11-01,3.0,0.0530722461012,11.4699738123,6.0,1999-11-01,6.9,94102
270,1999-11-01,94103,7,193.0,1999-11-01,3.0,216.119999716,1999-11-01,3.0,0.0444315636598,9.60254952556,7.0,1999-11-01,8.3,94103
273,1999-11-01,94107,9,193.0,1999-11-01,3.0,216.119999716,1999-11-01,3.0,0.0164198424482,3.54865634525,9.0,1999-11-01,5.2,94107
276,1999-11-01,94108,3,193.0,1999-11-01,3.0,216.119999716,1999-11-01,3.0,0.0172729159876,3.73302259833,3.0,1999-11-01,6.1,94108
279,1999-11-01,94109,23,193.0,1999-11-01,3.0,216.119999716,1999-11-01,3.0,0.0595267743978,12.864926466,23.0,1999-11-01,10.4,94109
282,1999-11-01,94110,27,193.0,1999-11-01,3.0,216.119999716,1999-11-01,3.0,0.135327125899,29.2468984109,27.0,1999-11-01,32.1,94110
285,1999-11-01,94112,10,193.0,1999-11-01,3.0,216.119999716,1999-11-01,3.0,0.0665744260038,14.3880649291,10.0,1999-11-01,14.3,94112
288,1999-11-01,94114,18,193.0,1999-11-01,3.0,216.119999716,1999-11-01,3.0,0.0559789928528,12.0981799195,18.0,1999-11-01,13.4,94114
291,1999-11-01,94115,11,193.0,1999-11-01,3.0,216.119999716,1999-11-01,3.0,0.0441978519343,9.5520397475,11.0,1999-11-01,12.1,94115
294,1999-11-01,94116,3,193.0,1999-11-01,3.0,216.119999716,1999-11-01,3.0,0.0406629502561,8.78807679781,3.0,1999-11-01,6.9,94116
297,1999-11-01,94117,15,193.0,1999-11-01,3.0,216.119999716,1999-11-01,3.0,0.0803507877066,17.3654122164,15.0,1999-11-01,16.1,94117
300,1999-11-01,94118,11,193.0,1999-11-01,3.0,216.119999716,1999-11-01,3.0,0.0476587720123,10.3000137938,11.0,1999-11-01,9.5,94118
303,1999-11-01,94121,8,193.0,1999-11-01,3.0,216.119999716,1999-11-01,3.0,0.0511992299742,11.0651775675,8.0,1999-11-01,9.2,94121
306,1999-11-01,94122,10,193.0,1999-11-01,3.0,216.119999716,1999-11-01,3.0,0.0661473418441,14.2957635006,10.0,1999-11-01,17.2,94122
309,1999-11-01,94123,1,193.0,1999-11-01,3.0,216.119999716,1999-11-01,3.0,0.0344141039264,7.43757613081,1.0,1999-11-01,6.9,94123
312,1999-11-01,94124,3,193.0,1999-11-01,3.0,216.119999716,1999-11-01,3.0,0.0333630727738,7.2104272784,3.0,1999-11-01,9.4,94124
315,1999-11-01,94127,1,193.0,1999-11-01,3.0,216.119999716,1999-11-01,3.0,0.00653291325163,1.41189321009,1.0,1999-11-01,3.1,94127
318,1999-11-01,94131,5,193.0,1999-11-01,3.0,216.119999716,1999-11-01,3.0,0.0307345620773,6.64235354742,5.0,1999-11-01,8.75625,94131
321,1999-11-01,94133,13,193.0,1999-11-01,3.0,216.119999716,1999-11-01,3.0,0.0291792518607,6.30621990385,13.0,1999-11-01,7.1,94133
324,1999-11-01,94134,5,193.0,1999-11-01,3.0,216.119999716,1999-11-01,3.0,0.0400689521919,8.65970193634,5.0,1999-11-01,9.4,94134
327,1999-11-01,Unknown_ZIP,4,193.0,1999-11-01,3.0,216.119999716,1999-11-01,3.0,0.0167139335998,3.61221532484,4.0,1999-11-01,4.9,Unknown_ZIP
330,1999-12-01,94102,6,208.0,1999-12-01,3.0,195.530357758,1999-12-01,3.0,0.0481028407433,9.40556565969,6.0,1999-12-01,7.41515151515,94102
333,1999-12-01,94103,5,208.0,1999-12-01,3.0,195.530357758,1999-12-01,3.0,0.0416774658406,8.14920980624,5.0,1999-12-01,6.7,94103
336,1999-12-01,94107,12,208.0,1999-12-01,3.0,195.530357758,1999-12-01,3.0,0.016783977234,3.28177707316,12.0,1999-12-01,3.5,94107
339,1999-12-01,94108,5,208.0,1999-12-01,3.0,195.530357758,1999-12-01,3.0,0.015280268386,2.98775634415,5.0,1999-12-01,6.7,94108
342,1999-12-01,94109,17,208.0,1999-12-01,3.0,195.530357758,1999-12-01,3.0,0.0736366530834,14.3982011215,17.0,1999-12-01,9.6,94109
345,1999-12-01,94110,42,208.0,1999-12-01,3.0,195.530357758,1999-12-01,3.0,0.137578806466,26.9008332482,42.0,1999-12-01,34.2,94110
348,1999-12-01,94112,13,208.0,1999-12-01,3.0,195.530357758,1999-12-01,3.0,0.0609050449256,11.9087852236,13.0,1999-12-01,15.4,94112
351,1999-12-01,94114,18,208.0,1999-12-01,3.0,195.530357758,1999-12-01,3.0,0.055951486292,10.9402141318,18.0,1999-12-01,12.6,94114
354,1999-12-01,94115,9,208.0,1999-12-01,3.0,195.530357758,1999-12-01,3.0,0.044583481263,8.71742404145,9.0,1999-12-01,8.2,94115
357,1999-12-01,94116,7,208.0,1999-12-01,3.0,195.530357758,1999-12-01,3.0,0.0377617608723,7.38357061292,7.0,1999-12-01,7.2,94116
360,1999-12-01,94117,10,208.0,1999-12-01,3.0,195.530357758,1999-12-01,3.0,0.0785868967323,15.3661240331,10.0,1999-12-01,13.2,94117
363,1999-12-01,94118,7,208.0,1999-12-01,3.0,195.530357758,1999-12-01,3.0,0.0482427751266,9.43292707972,7.0,1999-12-01,10.9,94118
366,1999-12-01,94121,9,208.0,1999-12-01,3.0,195.530357758,1999-12-01,3.0,0.0488675753661,9.55509449408,9.0,1999-12-01,11.7,94121
369,1999-12-01,94122,12,208.0,1999-12-01,3.0,195.530357758,1999-12-01,3.0,0.0644251104515,12.5970648952,12.0,1999-12-01,14.6,94122
372,1999-12-01,94123,3,208.0,1999-12-01,3.0,195.530357758,1999-12-01,3.0,0.0317791951325,6.2137973935,3.0,1999-12-01,4.9,94123
375,1999-12-01,94124,8,208.0,1999-12-01,3.0,195.530357758,1999-12-01,3.0,0.0340041110324,6.6488359954,8.0,1999-12-01,5.9,94124
378,1999-12-01,94127,1,208.0,1999-12-01,3.0,195.530357758,1999-12-01,3.0,0.00708679571758,1.38568370201,1.0,1999-12-01,2.5,94127
381,1999-12-01,94131,5,208.0,1999-12-01,3.0,195.530357758,1999-12-01,3.0,0.0310384916535,6.06896737727,5.0,1999-12-01,6.3,94131
384,1999-12-01,94132,4,208.0,1999-12-01,3.0,195.530357758,1999-12-01,3.0,0.0381623874571,7.46190527238,4.0,1999-12-01,7.4,94132
387,1999-12-01,94133,13,208.0,1999-12-01,3.0,195.530357758,1999-12-01,3.0,0.0398199191862,7.78600304436,13.0,1999-12-01,6.9,94133
390,1999-12-01,94134,2,208.0,1999-12-01,3.0,195.530357758,1999-12-01,3.0,0.0349411810901,6.83206163903,2.0,1999-12-01,6.4,94134
393,2000-01-01,94102,6,136.0,2000-01-01,3.0,198.943620358,2000-01-01,3.0,0.0454464630259,9.04128388684,6.0,2000-01-01,6.09411764706,94102
396,2000-01-01,94103,6,136.0,2000-01-01,3.0,198.943620358,2000-01-01,3.0,0.0474331440226,9.43652139682,6.0,2000-01-01,9.1,94103
399,2000-01-01,94107,1,136.0,2000-01-01,3.0,198.943620358,2000-01-01,3.0,0.0181333388001,3.60751207007,1.0,2000-01-01,5.9,94107
402,2000-01-01,94108,3,136.0,2000-01-01,3.0,198.943620358,2000-01-01,3.0,0.0135356901187,2.69283919625,3.0,2000-01-01,4.4,94108
405,2000-01-01,94109,10,136.0,2000-01-01,3.0,198.943620358,2000-01-01,3.0,0.0692061241886,13.768116897,10.0,2000-01-01,8.3,94109
408,2000-01-01,94110,22,136.0,2000-01-01,3.0,198.943620358,2000-01-01,3.0,0.130102677205,25.8830976215,22.0,2000-01-01,30.0,94110
411,2000-01-01,94112,8,136.0,2000-01-01,3.0,198.943620358,2000-01-01,3.0,0.0578249331213,11.5039015421,8.0,2000-01-01,10.4,94112
414,2000-01-01,94114,10,136.0,2000-01-01,3.0,198.943620358,2000-01-01,3.0,0.0596680186953,11.8705716588,10.0,2000-01-01,16.6,94114
417,2000-01-01,94115,3,136.0,2000-01-01,3.0,198.943620358,2000-01-01,3.0,0.0503923984597,10.0252461881,3.0,2000-01-01,6.28823529412,94115
420,2000-01-01,94116,6,136.0,2000-01-01,3.0,198.943620358,2000-01-01,3.0,0.0384562165791,7.65061895152,6.0,2000-01-01,9.4,94116
423,2000-01-01,94117,13,136.0,2000-01-01,3.0,198.943620358,2000-01-01,3.0,0.0771962627729,15.3577039942,13.0,2000-01-01,17.4,94117
426,2000-01-01,94118,12,136.0,2000-01-01,3.0,198.943620358,2000-01-01,3.0,0.0474399430827,9.43787402646,12.0,2000-01-01,10.7,94118
429,2000-01-01,94121,11,136.0,2000-01-01,3.0,198.943620358,2000-01-01,3.0,0.0470387179953,9.35805285499,11.0,2000-01-01,10.9,94121
432,2000-01-01,94122,8,136.0,2000-01-01,3.0,198.943620358,2000-01-01,3.0,0.0613105162184,12.1973360625,8.0,2000-01-01,17.3,94122
435,2000-01-01,94123,2,136.0,2000-01-01,3.0,198.943620358,2000-01-01,3.0,0.0319231508629,6.35090720591,2.0,2000-01-01,5.6,94123
438,2000-01-01,94124,6,136.0,2000-01-01,3.0,198.943620358,2000-01-01,3.0,0.0300831490348,5.98485058076,6.0,2000-01-01,7.4,94124
441,2000-01-01,94127,2,136.0,2000-01-01,3.0,198.943620358,2000-01-01,3.0,0.00699855927285,1.39231871903,2.0,2000-01-01,3.1,94127
444,2000-01-01,94133,3,136.0,2000-01-01,3.0,198.943620358,2000-01-01,3.0,0.0439674248762,8.7470386827,3.0,2000-01-01,6.3,94133
447,2000-01-01,94134,1,136.0,2000-01-01,3.0,198.943620358,2000-01-01,3.0,0.0313547360164,6.23782469847,1.0,2000-01-01,5.4,94134
450,2000-01-01,Unknown_ZIP,3,136.0,2000-01-01,3.0,198.943620358,2000-01-01,3.0,0.0156539961449,3.11426266615,3.0,2000-01-01,4.2,Unknown_ZIP
453,2000-02-01,94102,8,183.0,2000-02-01,3.0,183.389208544,2000-02-01,3.0,0.0436516655103,8.00524438957,8.0,2000-02-01,7.4,94102
456,2000-02-01,94103,11,183.0,2000-02-01,3.0,183.389208544,2000-02-01,3.0,0.0460376797762,8.44281365737,11.0,2000-02-01,8.7,94103
459,2000-02-01,94105,3,183.0,2000-02-01,3.0,183.389208544,2000-02-01,3.0,0.00429184549356,0.787078148258,3.0,2000-02-01,4.7,94105
462,2000-02-01,94107,2,183.0,2000-02-01,3.0,183.389208544,2000-02-01,3.0,0.0216956869941,3.97875486667,2.0,2000-02-01,6.4,94107
465,2000-02-01,94108,1,183.0,2000-02-01,3.0,183.389208544,2000-02-01,3.0,0.0138704153407,2.5436844915,1.0,2000-02-01,3.0,94108
468,2000-02-01,94109,14,183.0,2000-02-01,3.0,183.389208544,2000-02-01,3.0,0.075451731722,13.8370333638,14.0,2000-02-01,15.06,94109
471,2000-02-01,94110,13,183.0,2000-02-01,3.0,183.389208544,2000-02-01,3.0,0.131326889187,24.0839342685,13.0,2000-02-01,28.4,94110
474,2000-02-01,94112,11,183.0,2000-02-01,3.0,183.389208544,2000-02-01,3.0,0.0570735004189,10.4666640707,11.0,2000-02-01,12.2,94112
477,2000-02-01,94114,23,183.0,2000-02-01,3.0,183.389208544,2000-02-01,3.0,0.0638675474465,11.7126189779,23.0,2000-02-01,12.5,94114
480,2000-02-01,94115,12,183.0,2000-02-01,3.0,183.389208544,2000-02-01,3.0,0.0512177009838,9.39277364687,12.0,2000-02-01,9.89714285714,94115
483,2000-02-01,94116,5,183.0,2000-02-01,3.0,183.389208544,2000-02-01,3.0,0.035592194688,6.52722441419,5.0,2000-02-01,8.4,94116
486,2000-02-01,94117,11,183.0,2000-02-01,3.0,183.389208544,2000-02-01,3.0,0.077261755833,14.1689722529,11.0,2000-02-01,21.5,94117
489,2000-02-01,94118,9,183.0,2000-02-01,3.0,183.389208544,2000-02-01,3.0,0.048634302529,8.91900624888,9.0,2000-02-01,12.0,94118
492,2000-02-01,94121,11,183.0,2000-02-01,3.0,183.389208544,2000-02-01,3.0,0.0463402253961,8.49829725915,11.0,2000-02-01,9.6,94121
495,2000-02-01,94122,17,183.0,2000-02-01,3.0,183.389208544,2000-02-01,3.0,0.0601233856289,11.0259801055,17.0,2000-02-01,14.2,94122
498,2000-02-01,94123,4,183.0,2000-02-01,3.0,183.389208544,2000-02-01,3.0,0.0285804253989,5.24134159375,4.0,2000-02-01,7.4,94123
501,2000-02-01,94124,7,183.0,2000-02-01,3.0,183.389208544,2000-02-01,3.0,0.0282657605868,5.18363546291,7.0,2000-02-01,6.8,94124
504,2000-02-01,94131,3,183.0,2000-02-01,3.0,183.389208544,2000-02-01,3.0,0.0293860631681,5.38908686662,3.0,2000-02-01,6.5,94131
507,2000-02-01,94132,2,183.0,2000-02-01,3.0,183.389208544,2000-02-01,3.0,0.0336473859703,6.17056748266,2.0,2000-02-01,10.4,94132
510,2000-02-01,94133,3,183.0,2000-02-01,3.0,183.389208544,2000-02-01,3.0,0.0468911858859,8.5993374673,3.0,2000-02-01,6.2,94133
513,2000-02-01,94134,9,183.0,2000-02-01,3.0,183.389208544,2000-02-01,3.0,0.0306737359832,5.62523216505,9.0,2000-02-01,6.4,94134
516,2000-02-01,Unknown_ZIP,4,183.0,2000-02-01,3.0,183.389208544,2000-02-01,3.0,0.0163784807815,3.00363662768,4.0,2000-02-01,5.2,Unknown_ZIP
519,2000-03-01,94102,8,206.0,2000-03-01,3.0,189.102951023,2000-03-01,3.0,0.0420066086587,7.94357365985,8.0,2000-03-01,7.8,94102
522,2000-03-01,94103,5,206.0,2000-03-01,3.0,189.102951023,2000-03-01,3.0,0.0435933221943,8.24362587184,5.0,2000-03-01,9.6,94103
525,2000-03-01,94107,3,206.0,2000-03-01,3.0,189.102951023,2000-03-01,3.0,0.0256953115161,4.85905923516,3.0,2000-03-01,5.5,94107
528,2000-03-01,94108,4,206.0,2000-03-01,3.0,189.102951023,2000-03-01,3.0,0.0153229933689,2.89762326457,4.0,2000-03-01,3.1,94108
531,2000-03-01,94109,15,206.0,2000-03-01,3.0,189.102951023,2000-03-01,3.0,0.0761494025563,14.4000767421,15.0,2000-03-01,13.4,94109
534,2000-03-01,94110,26,206.0,2000-03-01,3.0,189.102951023,2000-03-01,3.0,0.139170910046,26.3176297863,26.0,2000-03-01,30.7,94110
537,2000-03-01,94112,13,206.0,2000-03-01,3.0,189.102951023,2000-03-01,3.0,0.0576764448168,10.9067859194,13.0,2000-03-01,12.1,94112
540,2000-03-01,94114,11,206.0,2000-03-01,3.0,189.102951023,2000-03-01,3.0,0.0663865379011,12.5538902253,11.0,2000-03-01,13.8,94114
543,2000-03-01,94115,18,206.0,2000-03-01,3.0,189.102951023,2000-03-01,3.0,0.0503345376266,9.51840960359,18.0,2000-03-01,9.8,94115
546,2000-03-01,94116,11,206.0,2000-03-01,3.0,189.102951023,2000-03-01,3.0,0.0353768226287,6.68986155691,11.0,2000-03-01,6.1,94116
549,2000-03-01,94117,20,206.0,2000-03-01,3.0,189.102951023,2000-03-01,3.0,0.0740189966379,13.997210696,20.0,2000-03-01,20.1,94117
552,2000-03-01,94118,12,206.0,2000-03-01,3.0,189.102951023,2000-03-01,3.0,0.0469698073762,8.88212918383,12.0,2000-03-01,9.4,94118
555,2000-03-01,94121,8,206.0,2000-03-01,3.0,189.102951023,2000-03-01,3.0,0.0459990037709,8.69854735721,8.0,2000-03-01,8.6,94121
558,2000-03-01,94122,14,206.0,2000-03-01,3.0,189.102951023,2000-03-01,3.0,0.0598532658582,11.3184292022,14.0,2000-03-01,13.7,94122
561,2000-03-01,94123,5,206.0,2000-03-01,3.0,189.102951023,2000-03-01,3.0,0.0270073866793,5.10717652049,5.0,2000-03-01,7.1,94123
564,2000-03-01,94124,5,206.0,2000-03-01,3.0,189.102951023,2000-03-01,3.0,0.0293986247951,5.55936670478,5.0,2000-03-01,6.6,94124
567,2000-03-01,94127,2,206.0,2000-03-01,3.0,189.102951023,2000-03-01,3.0,0.00649754938688,1.22870576348,2.0,2000-03-01,1.7,94127
570,2000-03-01,94131,6,206.0,2000-03-01,3.0,189.102951023,2000-03-01,3.0,0.0287918852092,5.44463045859,6.0,2000-03-01,7.3,94131
573,2000-03-01,94132,2,206.0,2000-03-01,3.0,189.102951023,2000-03-01,3.0,0.0318453088778,6.02204188505,2.0,2000-03-01,8.7,94132
576,2000-03-01,94133,7,206.0,2000-03-01,3.0,189.102951023,2000-03-01,3.0,0.0486254985652,9.19522527366,7.0,2000-03-01,6.9,94133
579,2000-03-01,94134,9,206.0,2000-03-01,3.0,189.102951023,2000-03-01,3.0,0.0283339191646,5.35802772808,9.0,2000-03-01,6.5,94134
582,2000-03-01,Unknown_ZIP,2,206.0,2000-03-01,3.0,189.102951023,2000-03-01,3.0,0.0163784807815,3.09721904906,2.0,2000-03-01,2.8,Unknown_ZIP
585,2000-04-01,94102,30,250.0,2000-04-01,3.0,189.151949588,2000-04-01,3.0,0.0422177124988,7.98556262629,30.0,2000-04-01,7.2,94102
